model,year,price,transmission,mileage,fuelType,tax(£),mpg,engineSize,catergory_mileage,catergory_year,catergory_tax
Tucson,2019.0,17096.0,Manual,2684.0,Petrol,145.0,34.9,1.6,0<10000,2015>2020,100>150
Tucson,2017.0,13539.0,Manual,16190.0,Petrol,160.0,44.8,1.6,10000>20000,2015>2020,150>200
Tucson,2016.0,12990.0,Manual,21159.0,Diesel,30.0,61.7,1.7,20000>30000,2015>2020,<100
Tucson,2017.0,13490.0,Manual,12380.0,Petrol,150.0,44.8,1.6,10000>20000,2015>2020,100>150
Tucson,2018.0,15229.0,Manual,17267.0,Petrol,150.0,34.9,1.6,10000>20000,2015>2020,100>150
I10,2018.0,9297.0,Semi-Auto,17356.0,Petrol,150.0,47.9,1.2,10000>20000,2015>2020,100>150
Tucson,2017.0,16457.0,Semi-Auto,27911.0,Diesel,125.0,57.6,1.7,20000>30000,2015>2020,100>150
SantaFe,2016.0,18797.0,Semi-Auto,26317.0,Diesel,240.0,42.8,2.2,20000>30000,2015>2020,>200
Tucson,2017.0,15299.0,Semi-Auto,21700.0,Diesel,150.0,57.6,1.7,20000>30000,2015>2020,100>150
I800,2019.0,18985.0,Manual,4266.0,Diesel,145.0,31.7,2.5,0<10000,2015>2020,100>150
Tucson,2018.0,18599.0,Semi-Auto,5728.0,Petrol,145.0,36.2,1.6,0<10000,2015>2020,100>150
I10,2018.0,7985.0,Manual,15682.0,Petrol,145.0,57.7,1.2,10000>20000,2015>2020,100>150
I20,2015.0,7361.0,Manual,25730.0,Diesel,20.0,68.9,1.4,20000>30000,2010>2015,<100
Tucson,2019.0,17571.0,Manual,3737.0,Petrol,145.0,34.9,1.6,0<10000,2015>2020,100>150
Tucson,2017.0,13871.0,Manual,13206.0,Petrol,160.0,44.8,1.6,10000>20000,2015>2020,150>200
Tucson,2017.0,13894.0,Manual,10172.0,Petrol,160.0,44.8,1.6,10000>20000,2015>2020,150>200
Tucson,2017.0,13745.0,Manual,25895.0,Diesel,30.0,61.7,1.7,20000>30000,2015>2020,<100
Kona,2019.0,17622.0,Manual,3624.0,Petrol,145.0,44.1,1.0,0<10000,2015>2020,100>150
Tucson,2017.0,15728.0,Semi-Auto,14937.0,Diesel,125.0,57.6,1.7,10000>20000,2015>2020,100>150
Ioniq,2019.0,16786.0,Automatic,11848.0,Hybrid,135.0,78.5,1.6,10000>20000,2015>2020,100>150
Ioniq,2019.0,17560.0,Automatic,4581.0,Hybrid,135.0,78.5,1.6,0<10000,2015>2020,100>150
Ioniq,2018.0,14811.0,Automatic,27318.0,Hybrid,135.0,78.5,1.6,20000>30000,2015>2020,100>150
IX20,2017.0,9628.0,Automatic,27918.0,Petrol,145.0,43.5,1.6,20000>30000,2015>2020,100>150
Ioniq,2018.0,15544.0,Automatic,37101.0,Hybrid,135.0,78.5,1.6,30000>40000,2015>2020,100>150
I20,2018.0,10362.0,Automatic,30424.0,Petrol,145.0,45.6,1.4,30000>40000,2015>2020,100>150
Tucson,2017.0,13790.0,Manual,25198.0,Diesel,150.0,61.7,1.7,20000>30000,2015>2020,100>150
I20,2018.0,10990.0,Manual,8701.0,Petrol,150.0,47.9,1.0,0<10000,2015>2020,100>150
I10,2018.0,7690.0,Manual,10819.0,Petrol,150.0,60.1,1.0,10000>20000,2015>2020,100>150
Tucson,2017.0,14590.0,Manual,30085.0,Diesel,150.0,61.4,1.7,30000>40000,2015>2020,100>150
I30,2016.0,9250.0,Semi-Auto,27000.0,Diesel,20.0,72.4,1.6,20000>30000,2015>2020,<100
Tucson,2017.0,13666.0,Manual,18465.0,Diesel,30.0,61.7,1.7,10000>20000,2015>2020,<100
Tucson,2017.0,13771.0,Manual,5877.0,Diesel,30.0,61.7,1.7,0<10000,2015>2020,<100
Tucson,2018.0,13752.0,Manual,29000.0,Petrol,145.0,34.9,1.6,20000>30000,2015>2020,100>150
Tucson,2016.0,13182.0,Manual,27283.0,Diesel,30.0,61.7,1.7,20000>30000,2015>2020,<100
Tucson,2017.0,15258.0,Semi-Auto,8526.0,Diesel,145.0,57.6,1.7,0<10000,2015>2020,100>150
Tucson,2017.0,15127.0,Semi-Auto,11353.0,Diesel,145.0,57.6,1.7,10000>20000,2015>2020,100>150
I20,2018.0,8463.0,Manual,21199.0,Petrol,145.0,58.9,1.2,20000>30000,2015>2020,100>150
Tucson,2019.0,18967.0,Semi-Auto,10120.0,Petrol,145.0,36.2,1.6,10000>20000,2015>2020,100>150
I20,2019.0,11340.0,Manual,3686.0,Petrol,150.0,46.3,1.2,0<10000,2015>2020,100>150
I10,2019.0,8590.0,Manual,3103.0,Petrol,150.0,60.1,1.0,0<10000,2015>2020,100>150
Tucson,2018.0,17390.0,Manual,13421.0,Diesel,150.0,48.7,1.6,10000>20000,2015>2020,100>150
Ioniq,2018.0,17700.0,Automatic,11333.0,Hybrid,135.0,78.5,1.6,10000>20000,2015>2020,100>150
Tucson,2017.0,13100.0,Manual,23855.0,Diesel,30.0,61.7,1.7,20000>30000,2015>2020,<100
I10,2018.0,10100.0,Semi-Auto,667.0,Petrol,145.0,47.9,1.2,0<10000,2015>2020,100>150
Tucson,2017.0,12300.0,Manual,49691.0,Diesel,30.0,61.7,1.7,40000>50000,2015>2020,<100
I20,2016.0,7490.0,Manual,34000.0,Petrol,30.0,55.4,1.2,30000>40000,2015>2020,<100
IX35,2014.0,7599.0,Manual,70352.0,Diesel,150.0,53.3,1.7,>60000,2010>2015,100>150
I10,2017.0,6990.0,Manual,22305.0,Petrol,150.0,60.1,1.0,20000>30000,2015>2020,100>150
Tucson,2019.0,15692.0,Manual,15623.0,Petrol,150.0,35.3,1.6,10000>20000,2015>2020,100>150
Tucson,2017.0,18799.0,Automatic,21477.0,Diesel,145.0,47.1,2.0,20000>30000,2015>2020,100>150
I800,2016.0,12000.0,Automatic,55088.0,Diesel,330.0,33.6,2.5,50000>60000,2015>2020,>200
I20,2017.0,8591.0,Manual,18600.0,Petrol,145.0,58.9,1.2,10000>20000,2015>2020,100>150
Kona,2018.0,18995.0,Semi-Auto,7769.0,Petrol,145.0,42.2,1.6,0<10000,2015>2020,100>150
Tucson,2019.0,16922.0,Manual,4292.0,Petrol,145.0,34.9,1.6,0<10000,2015>2020,100>150
I20,2019.0,15702.0,Automatic,835.0,Petrol,145.0,49.6,1.0,0<10000,2015>2020,100>150
Tucson,2019.0,19642.0,Semi-Auto,2837.0,Petrol,145.0,36.2,1.6,0<10000,2015>2020,100>150
Tucson,2016.0,8988.0,Manual,87146.0,Petrol,160.0,44.8,1.6,>60000,2015>2020,150>200
Tucson,2017.0,15236.0,Semi-Auto,19651.0,Diesel,125.0,57.6,1.7,10000>20000,2015>2020,100>150
Tucson,2018.0,14853.0,Manual,21505.0,Diesel,145.0,61.7,1.7,20000>30000,2015>2020,100>150
Kona,2017.0,12823.0,Manual,26301.0,Petrol,145.0,52.3,1.0,20000>30000,2015>2020,100>150
SantaFe,2019.0,33992.0,Semi-Auto,7130.0,Diesel,145.0,39.2,2.2,0<10000,2015>2020,100>150
Tucson,2019.0,15692.0,Manual,15299.0,Petrol,150.0,35.3,1.6,10000>20000,2015>2020,100>150
I20,2019.0,9962.0,Manual,15344.0,Petrol,150.0,46.3,1.2,10000>20000,2015>2020,100>150
I10,2015.0,5690.0,Manual,25731.0,Petrol,20.0,60.1,1.0,20000>30000,2010>2015,<100
Tucson,2018.0,15990.0,Manual,10117.0,Petrol,150.0,34.9,1.6,10000>20000,2015>2020,100>150
Ioniq,2017.0,16491.0,Automatic,20257.0,Hybrid,140.0,78.5,1.6,20000>30000,2015>2020,100>150
I30,2018.0,12891.0,Manual,3789.0,Petrol,150.0,45.6,1.0,0<10000,2015>2020,100>150
I10,2017.0,5992.0,Manual,26921.0,Petrol,145.0,60.1,1.0,20000>30000,2015>2020,100>150
Tucson,2017.0,12990.0,Manual,36000.0,Diesel,150.0,61.7,1.7,30000>40000,2015>2020,100>150
I10,2016.0,6990.0,Manual,6539.0,Petrol,20.0,60.1,1.0,0<10000,2015>2020,<100
Ioniq,2017.0,17149.0,Automatic,10329.0,Hybrid,135.0,78.5,1.6,10000>20000,2015>2020,100>150
Tucson,2020.0,24999.0,Semi-Auto,1475.0,Petrol,145.0,36.2,1.6,0<10000,2015>2020,100>150
I10,2017.0,6991.0,Manual,22012.0,Petrol,20.0,60.1,1.0,20000>30000,2015>2020,<100
IX20,2016.0,9191.0,Manual,14600.0,Petrol,125.0,50.4,1.4,10000>20000,2015>2020,100>150
Ioniq,2020.0,20999.0,Automatic,8000.0,Hybrid,140.0,62.8,1.6,0<10000,2015>2020,100>150
SantaFe,2018.0,30699.0,Semi-Auto,10958.0,Diesel,145.0,39.2,2.2,10000>20000,2015>2020,100>150
Tucson,2017.0,17999.0,Semi-Auto,23986.0,Diesel,125.0,57.6,1.7,20000>30000,2015>2020,100>150
Ioniq,2019.0,16699.0,Automatic,3827.0,Hybrid,135.0,78.5,1.6,0<10000,2015>2020,100>150
Tucson,2017.0,17399.0,Semi-Auto,30345.0,Diesel,125.0,57.6,1.7,30000>40000,2015>2020,100>150
SantaFe,2019.0,33999.0,Semi-Auto,6697.0,Diesel,145.0,39.2,2.2,0<10000,2015>2020,100>150
I30,2019.0,14699.0,Manual,16673.0,Diesel,145.0,60.1,1.6,10000>20000,2015>2020,100>150
I10,2019.0,8649.0,Manual,8483.0,Petrol,145.0,60.1,1.0,0<10000,2015>2020,100>150
I20,2019.0,9699.0,Manual,14051.0,Petrol,145.0,46.3,1.2,10000>20000,2015>2020,100>150
Kona,2019.0,15292.0,Manual,11088.0,Petrol,150.0,44.1,1.0,10000>20000,2015>2020,100>150
Tucson,2019.0,15792.0,Manual,13725.0,Petrol,150.0,35.3,1.6,10000>20000,2015>2020,100>150
I30,2018.0,12190.0,Semi-Auto,30709.0,Petrol,150.0,51.4,1.4,30000>40000,2015>2020,100>150
I30,2018.0,12790.0,Semi-Auto,28851.0,Petrol,150.0,51.4,1.4,20000>30000,2015>2020,100>150
I10,2017.0,10591.0,Semi-Auto,14097.0,Petrol,150.0,47.9,1.2,10000>20000,2015>2020,100>150
SantaFe,2015.0,18992.0,Semi-Auto,11673.0,Diesel,265.0,41.5,2.2,10000>20000,2010>2015,>200
I10,2015.0,6090.0,Manual,11166.0,Petrol,30.0,57.6,1.2,10000>20000,2010>2015,<100
I20,2016.0,7900.0,Manual,29981.0,Petrol,30.0,58.9,1.2,20000>30000,2015>2020,<100
Tucson,2018.0,14499.0,Manual,20455.0,Petrol,150.0,44.8,1.6,20000>30000,2015>2020,100>150
I10,2017.0,6790.0,Manual,30946.0,Petrol,150.0,57.7,1.2,30000>40000,2015>2020,100>150
Tucson,2016.0,13500.0,Manual,18504.0,Diesel,30.0,61.7,1.7,10000>20000,2015>2020,<100
Tucson,2018.0,15300.0,Manual,7669.0,Petrol,150.0,35.3,1.6,0<10000,2015>2020,100>150
IX20,2016.0,7695.0,Manual,18146.0,Petrol,125.0,50.4,1.4,10000>20000,2015>2020,100>150
IX20,2017.0,9995.0,Automatic,19500.0,Petrol,160.0,43.5,1.6,10000>20000,2015>2020,150>200
I10,2017.0,6695.0,Manual,43638.0,Petrol,150.0,57.7,1.2,40000>50000,2015>2020,100>150
Kona,2018.0,15295.0,Manual,5104.0,Petrol,145.0,44.1,1.0,0<10000,2015>2020,100>150
SantaFe,2019.0,31269.0,Automatic,9970.0,Diesel,145.0,39.2,2.2,0<10000,2015>2020,100>150
Kona,2019.0,13799.0,Manual,8155.0,Petrol,145.0,44.1,1.0,0<10000,2015>2020,100>150
Kona,2019.0,14195.0,Manual,2779.0,Petrol,145.0,44.1,1.0,0<10000,2015>2020,100>150
SantaFe,2019.0,33999.0,Semi-Auto,2847.0,Diesel,145.0,39.2,2.2,0<10000,2015>2020,100>150
IX20,2017.0,8899.0,Manual,22880.0,Petrol,145.0,50.4,1.4,20000>30000,2015>2020,100>150
SantaFe,2019.0,33999.0,Semi-Auto,3735.0,Diesel,145.0,39.2,2.2,0<10000,2015>2020,100>150
Tucson,2017.0,16499.0,Manual,15506.0,Petrol,145.0,38.7,1.6,10000>20000,2015>2020,100>150
Kona,2019.0,13799.0,Manual,7925.0,Petrol,145.0,44.1,1.0,0<10000,2015>2020,100>150
I10,2019.0,9995.0,Manual,10000.0,Petrol,145.0,57.6,1.2,0<10000,2015>2020,100>150
IX35,2014.0,6890.0,Manual,94870.0,Diesel,145.0,53.3,1.7,>60000,2010>2015,100>150
I30,2014.0,7420.0,Automatic,43057.0,Diesel,160.0,51.4,1.6,40000>50000,2010>2015,150>200
I30,2014.0,6925.0,Manual,46845.0,Diesel,0.0,74.3,1.6,40000>50000,2010>2015,<100
I10,2018.0,8795.0,Manual,7374.0,Petrol,145.0,57.7,1.2,0<10000,2015>2020,100>150
Tucson,2017.0,14995.0,Manual,35791.0,Diesel,145.0,54.3,2.0,30000>40000,2015>2020,100>150
Tucson,2018.0,17695.0,Semi-Auto,17952.0,Petrol,150.0,36.2,1.6,10000>20000,2015>2020,100>150
I10,2020.0,12795.0,Manual,822.0,Petrol,145.0,53.3,1.0,0<10000,2015>2020,100>150
Kona,2020.0,22495.0,Automatic,2064.0,Hybrid,135.0,52.3,1.6,0<10000,2015>2020,100>150
Ioniq,2020.0,20995.0,Automatic,1669.0,Hybrid,135.0,62.8,1.6,0<10000,2015>2020,100>150
SantaFe,2019.0,32495.0,Semi-Auto,2880.0,Diesel,145.0,39.8,2.2,0<10000,2015>2020,100>150
Tucson,2019.0,18195.0,Semi-Auto,17470.0,Petrol,145.0,36.2,1.6,10000>20000,2015>2020,100>150
Tucson,2019.0,18245.0,Semi-Auto,16923.0,Petrol,145.0,36.2,1.6,10000>20000,2015>2020,100>150
Kona,2019.0,13995.0,Manual,15507.0,Petrol,150.0,44.1,1.0,10000>20000,2015>2020,100>150
I20,2018.0,9995.0,Automatic,30239.0,Petrol,150.0,45.6,1.4,30000>40000,2015>2020,100>150
Kona,2019.0,13995.0,Manual,13192.0,Petrol,150.0,44.1,1.0,10000>20000,2015>2020,100>150
I20,2017.0,9995.0,Automatic,29592.0,Petrol,150.0,45.6,1.4,20000>30000,2015>2020,100>150
I10,2017.0,7495.0,Manual,8438.0,Petrol,150.0,60.1,1.0,0<10000,2015>2020,100>150
Tucson,2017.0,15295.0,Semi-Auto,19942.0,Diesel,125.0,57.6,1.7,10000>20000,2015>2020,100>150
Tucson,2019.0,17995.0,Manual,5812.0,Petrol,150.0,34.9,1.6,0<10000,2015>2020,100>150
Tucson,2016.0,12495.0,Manual,29293.0,Diesel,30.0,61.7,1.7,20000>30000,2015>2020,<100
SantaFe,2017.0,21499.0,Semi-Auto,28847.0,Diesel,240.0,42.8,2.2,20000>30000,2015>2020,>200
I20,2019.0,10699.0,Manual,7015.0,Petrol,150.0,46.3,1.2,0<10000,2015>2020,100>150
Tucson,2018.0,15190.0,Manual,8557.0,Petrol,145.0,44.8,1.6,0<10000,2015>2020,100>150
Tucson,2017.0,15790.0,Semi-Auto,7497.0,Diesel,145.0,57.6,1.7,0<10000,2015>2020,100>150
I800,2016.0,14300.0,Automatic,51446.0,Diesel,325.0,33.6,2.5,50000>60000,2015>2020,>200
I40,2016.0,9500.0,Semi-Auto,59335.0,Diesel,125.0,56.5,1.7,50000>60000,2015>2020,100>150
I10,2019.0,8645.0,Manual,8607.0,Petrol,145.0,60.1,1.0,0<10000,2015>2020,100>150
Tucson,2019.0,18595.0,Semi-Auto,12328.0,Petrol,145.0,36.2,1.6,10000>20000,2015>2020,100>150
Tucson,2019.0,18395.0,Semi-Auto,15487.0,Petrol,145.0,36.2,1.6,10000>20000,2015>2020,100>150
Tucson,2019.0,16495.0,Manual,10736.0,Petrol,145.0,34.9,1.6,10000>20000,2015>2020,100>150
I10,2018.0,9795.0,Semi-Auto,32449.0,Petrol,145.0,47.9,1.2,30000>40000,2015>2020,100>150
Tucson,2019.0,20995.0,Manual,6549.0,Petrol,145.0,34.9,1.6,0<10000,2015>2020,100>150
I20,2018.0,8645.0,Manual,9888.0,Petrol,145.0,55.4,1.2,0<10000,2015>2020,100>150
I10,2017.0,7499.0,Manual,17677.0,Petrol,150.0,57.7,1.2,10000>20000,2015>2020,100>150
I20,2019.0,11149.0,Manual,10876.0,Petrol,150.0,46.3,1.2,10000>20000,2015>2020,100>150
Tucson,2019.0,25499.0,Semi-Auto,4899.0,Petrol,145.0,35.8,1.6,0<10000,2015>2020,100>150
Tucson,2019.0,22499.0,Semi-Auto,20430.0,Petrol,150.0,35.8,1.6,20000>30000,2015>2020,100>150
Tucson,2018.0,14949.0,Manual,8225.0,Petrol,150.0,44.8,1.6,0<10000,2015>2020,100>150
IX20,2017.0,10399.0,Automatic,17736.0,Petrol,150.0,43.5,1.6,10000>20000,2015>2020,100>150
Tucson,2018.0,17999.0,Semi-Auto,13554.0,Petrol,150.0,36.2,1.6,10000>20000,2015>2020,100>150
Tucson,2019.0,17449.0,Manual,3774.0,Petrol,150.0,34.9,1.6,0<10000,2015>2020,100>150
I10,2018.0,10399.0,Manual,3796.0,Petrol,150.0,57.6,1.2,0<10000,2015>2020,100>150
Kona,2019.0,13591.0,Manual,15575.0,Petrol,145.0,44.1,1.0,10000>20000,2015>2020,100>150
Ioniq,2019.0,19538.0,Automatic,7603.0,Hybrid,135.0,78.5,1.6,0<10000,2015>2020,100>150
SantaFe,2016.0,17390.0,Manual,10200.0,Diesel,200.0,46.3,2.2,10000>20000,2015>2020,150>200
I10,2018.0,8591.0,Manual,7057.0,Petrol,145.0,57.7,1.2,0<10000,2015>2020,100>150
Tucson,2018.0,12790.0,Manual,11580.0,Petrol,145.0,44.8,1.6,10000>20000,2015>2020,100>150
IX20,2017.0,9499.0,Manual,22880.0,Petrol,145.0,50.4,1.4,20000>30000,2015>2020,100>150
I20,2019.0,11499.0,Manual,3609.0,Petrol,145.0,46.3,1.2,0<10000,2015>2020,100>150
I30,2018.0,12549.0,Manual,8676.0,Petrol,145.0,45.6,1.0,0<10000,2015>2020,100>150
Tucson,2019.0,22591.0,Semi-Auto,3500.0,Diesel,145.0,47.1,1.6,0<10000,2015>2020,100>150
SantaFe,2019.0,33791.0,Semi-Auto,5117.0,Diesel,145.0,39.2,2.2,0<10000,2015>2020,100>150
Ioniq,2019.0,18695.0,Automatic,8300.0,Hybrid,135.0,78.5,1.6,0<10000,2015>2020,100>150
Ioniq,2017.0,17749.0,Automatic,7955.0,Hybrid,135.0,78.5,1.6,0<10000,2015>2020,100>150
Kona,2019.0,21495.0,Semi-Auto,1026.0,Petrol,145.0,37.7,1.6,0<10000,2015>2020,100>150
I10,2017.0,7249.0,Manual,28500.0,Petrol,150.0,60.1,1.0,20000>30000,2015>2020,100>150
I30,2020.0,17999.0,Manual,6000.0,Diesel,150.0,60.1,1.6,0<10000,2015>2020,100>150
Tucson,2020.0,24749.0,Semi-Auto,6000.0,Petrol,150.0,36.2,1.6,0<10000,2015>2020,100>150
I30,2020.0,25999.0,Manual,6000.0,Petrol,150.0,34.0,2.0,0<10000,2015>2020,100>150
I10,2020.0,13949.0,Semi-Auto,6000.0,Petrol,150.0,52.3,1.2,0<10000,2015>2020,100>150
I20,2020.0,13749.0,Manual,6000.0,Petrol,150.0,46.3,1.2,0<10000,2015>2020,100>150
I800,2019.0,18499.0,Manual,15997.0,Diesel,150.0,31.7,2.5,10000>20000,2015>2020,100>150
I10,2019.0,8549.0,Manual,8483.0,Petrol,145.0,60.1,1.0,0<10000,2015>2020,100>150
I10,2019.0,8549.0,Manual,8084.0,Petrol,145.0,60.1,1.0,0<10000,2015>2020,100>150
Kona,2018.0,13649.0,Manual,10761.0,Petrol,145.0,44.1,1.0,10000>20000,2015>2020,100>150
I30,2019.0,14999.0,Manual,16673.0,Diesel,145.0,60.1,1.6,10000>20000,2015>2020,100>150
Tucson,2018.0,14999.0,Manual,15450.0,Petrol,150.0,35.3,1.6,10000>20000,2015>2020,100>150
I10,2019.0,10349.0,Semi-Auto,16605.0,Petrol,150.0,47.9,1.2,10000>20000,2015>2020,100>150
Ioniq,2019.0,21999.0,Automatic,9767.0,Hybrid,140.0,78.5,1.6,0<10000,2015>2020,100>150
Ioniq,2019.0,18695.0,Automatic,8021.0,Hybrid,135.0,78.5,1.6,0<10000,2015>2020,100>150
Ioniq,2019.0,18695.0,Automatic,8245.0,Hybrid,135.0,78.5,1.6,0<10000,2015>2020,100>150
SantaFe,2018.0,20749.0,Manual,17452.0,Diesel,145.0,47.1,2.2,10000>20000,2015>2020,100>150
Tucson,2018.0,15549.0,Manual,9056.0,Diesel,145.0,61.7,1.7,0<10000,2015>2020,100>150
Kona,2019.0,13849.0,Manual,10384.0,Petrol,145.0,44.1,1.0,10000>20000,2015>2020,100>150
Ioniq,2017.0,15999.0,Automatic,23700.0,Hybrid,135.0,78.5,1.6,20000>30000,2015>2020,100>150
Tucson,2017.0,16729.0,Semi-Auto,24163.0,Diesel,125.0,57.6,1.7,20000>30000,2015>2020,100>150
I20,2017.0,7749.0,Manual,17772.0,Petrol,150.0,55.4,1.2,10000>20000,2015>2020,100>150
SantaFe,2020.0,36999.0,Semi-Auto,6000.0,Diesel,150.0,39.2,2.2,0<10000,2015>2020,100>150
Tucson,2018.0,15992.0,Manual,7390.0,Petrol,145.0,34.9,1.6,0<10000,2015>2020,100>150
I10,2019.0,10495.0,Semi-Auto,7077.0,Petrol,145.0,47.9,1.2,0<10000,2015>2020,100>150
I800,2019.0,18499.0,Manual,13312.0,Diesel,150.0,31.7,2.5,10000>20000,2015>2020,100>150
Kona,2018.0,13799.0,Manual,8361.0,Petrol,145.0,44.1,1.0,0<10000,2015>2020,100>150
Tucson,2019.0,17749.0,Manual,19450.0,Diesel,145.0,48.7,1.6,10000>20000,2015>2020,100>150
I20,2018.0,10499.0,Manual,23607.0,Petrol,145.0,62.8,1.0,20000>30000,2015>2020,100>150
SantaFe,2017.0,21849.0,Semi-Auto,26385.0,Diesel,235.0,42.8,2.2,20000>30000,2015>2020,>200
Tucson,2017.0,14799.0,Manual,36303.0,Diesel,30.0,61.4,1.7,30000>40000,2015>2020,<100
Tucson,2017.0,14749.0,Manual,18777.0,Diesel,145.0,61.7,1.7,10000>20000,2015>2020,100>150
I10,2018.0,7849.0,Manual,12653.0,Petrol,145.0,57.7,1.2,10000>20000,2015>2020,100>150
Kona,2020.0,15499.0,Manual,6000.0,Petrol,150.0,44.1,1.0,0<10000,2015>2020,100>150
Tucson,2019.0,26995.0,Manual,10.0,Hybrid,145.0,47.9,1.6,0<10000,2015>2020,100>150
Kona,2019.0,22995.0,Semi-Auto,10.0,Petrol,145.0,37.7,1.6,0<10000,2015>2020,100>150
I10,2018.0,9495.0,Semi-Auto,8392.0,Petrol,145.0,47.9,1.2,0<10000,2015>2020,100>150
I10,2019.0,9995.0,Semi-Auto,8205.0,Petrol,150.0,47.9,1.2,0<10000,2015>2020,100>150
Ioniq,2019.0,19981.0,Automatic,9950.0,Hybrid,135.0,78.5,1.6,0<10000,2015>2020,100>150
Ioniq,2019.0,18695.0,Automatic,17378.0,Hybrid,135.0,78.5,1.6,10000>20000,2015>2020,100>150
Ioniq,2019.0,18695.0,Automatic,17212.0,Hybrid,135.0,78.5,1.6,10000>20000,2015>2020,100>150
Ioniq,2019.0,18695.0,Automatic,2760.0,Hybrid,135.0,78.5,1.6,0<10000,2015>2020,100>150
Ioniq,2019.0,18695.0,Automatic,9562.0,Hybrid,135.0,78.5,1.6,0<10000,2015>2020,100>150
Tucson,2017.0,13949.0,Manual,29572.0,Diesel,125.0,58.9,2.0,20000>30000,2015>2020,100>150
Ioniq,2017.0,14999.0,Automatic,28836.0,Hybrid,0.0,78.5,1.6,20000>30000,2015>2020,<100
Ioniq,2019.0,19999.0,Automatic,8732.0,Hybrid,135.0,62.8,1.6,0<10000,2015>2020,100>150
SantaFe,2019.0,33949.0,Semi-Auto,6982.0,Diesel,145.0,39.2,2.2,0<10000,2015>2020,100>150
I20,2020.0,13999.0,Manual,6000.0,Petrol,150.0,47.9,1.0,0<10000,2015>2020,100>150
Tucson,2020.0,28499.0,Semi-Auto,8000.0,Hybrid,150.0,50.4,1.6,0<10000,2015>2020,100>150
I30,2018.0,10349.0,Manual,12098.0,Petrol,150.0,57.7,1.0,10000>20000,2015>2020,100>150
Tucson,2018.0,14499.0,Manual,20455.0,Petrol,150.0,44.8,1.6,20000>30000,2015>2020,100>150
IX35,2014.0,10499.0,Manual,27410.0,Diesel,165.0,51.4,2.0,20000>30000,2010>2015,150>200
I30,2018.0,10349.0,Manual,13164.0,Petrol,150.0,57.7,1.0,10000>20000,2015>2020,100>150
I20,2017.0,8493.0,Automatic,46443.0,Petrol,145.0,45.6,1.4,40000>50000,2015>2020,100>150
Tucson,2019.0,21452.0,Semi-Auto,4371.0,Diesel,145.0,47.1,1.6,0<10000,2015>2020,100>150
Ioniq,2017.0,14403.0,Automatic,17391.0,Hybrid,135.0,78.5,1.6,10000>20000,2015>2020,100>150
Tucson,2018.0,14938.0,Manual,8681.0,Petrol,145.0,44.8,1.6,0<10000,2015>2020,100>150
Tucson,2018.0,16672.0,Semi-Auto,31792.0,Petrol,145.0,39.8,1.6,30000>40000,2015>2020,100>150
I10,2016.0,7997.0,Manual,10500.0,Petrol,30.0,57.6,1.2,10000>20000,2015>2020,<100
Ioniq,2016.0,13685.0,Automatic,13695.0,Hybrid,0.0,78.5,1.6,10000>20000,2015>2020,<100
SantaFe,2018.0,18495.0,Manual,27410.0,Diesel,145.0,47.1,2.2,20000>30000,2015>2020,100>150
Tucson,2019.0,18395.0,Semi-Auto,10610.0,Petrol,145.0,36.2,1.6,10000>20000,2015>2020,100>150
Kona,2019.0,14995.0,Manual,13240.0,Petrol,145.0,44.1,1.0,10000>20000,2015>2020,100>150
SantaFe,2019.0,31995.0,Semi-Auto,130.0,Diesel,145.0,42.8,2.2,0<10000,2015>2020,100>150
Kona,2019.0,22995.0,Semi-Auto,10.0,Petrol,145.0,37.7,1.6,0<10000,2015>2020,100>150
Tucson,2019.0,17695.0,Manual,7330.0,Petrol,145.0,34.9,1.6,0<10000,2015>2020,100>150
Kona,2019.0,18695.0,Semi-Auto,21750.0,Petrol,145.0,34.0,1.6,20000>30000,2015>2020,100>150
Kona,2019.0,19995.0,Semi-Auto,10.0,Petrol,145.0,37.7,1.6,0<10000,2015>2020,100>150
Tucson,2019.0,16995.0,Manual,1430.0,Petrol,150.0,34.9,1.6,0<10000,2015>2020,100>150
I30,2016.0,7995.0,Manual,28290.0,Petrol,145.0,48.7,1.4,20000>30000,2015>2020,100>150
Tucson,2017.0,12995.0,Manual,35160.0,Diesel,30.0,61.7,1.7,30000>40000,2015>2020,<100
Kona,2019.0,13599.0,Manual,12273.0,Petrol,145.0,44.1,1.0,10000>20000,2015>2020,100>150
I10,2017.0,9624.0,Semi-Auto,8154.0,Petrol,145.0,47.9,1.2,0<10000,2015>2020,100>150
I30,2014.0,7924.0,Automatic,33080.0,Diesel,160.0,51.4,1.6,30000>40000,2010>2015,150>200
Tucson,2018.0,17750.0,Semi-Auto,8300.0,Petrol,150.0,39.8,1.6,0<10000,2015>2020,100>150
I800,2018.0,16299.0,Manual,33887.0,Diesel,145.0,31.7,2.5,30000>40000,2015>2020,100>150
SantaFe,2019.0,33999.0,Semi-Auto,6697.0,Diesel,150.0,39.2,2.2,0<10000,2015>2020,100>150
Kona,2019.0,15695.0,Manual,6380.0,Petrol,145.0,44.1,1.0,0<10000,2015>2020,100>150
Kona,2019.0,14995.0,Manual,12560.0,Petrol,145.0,44.1,1.0,10000>20000,2015>2020,100>150
Ioniq,2019.0,21995.0,Automatic,10200.0,Hybrid,135.0,78.5,1.6,10000>20000,2015>2020,100>150
